model,month,fcst_qty,prod_qty,업체(거래선)
PN185WCW-VF(E),2026-06-01,2,2,Coway
PN185WCW-VF(M),2026-06-01,1196,3988,Coway
PN185WCW-VF(M),2026-07-01,4404,2184,Coway
PN185WCW-VF(M),2026-08-01,1040,1517,Coway
PN185WCW-VF(M),2026-09-01,1049,0,Coway
PN185WCW-VF(TW),2026-06-01,0,300,Coway
PN185WCW-VF(TW),2026-07-01,300,0,Coway
PN20A-24J33,2026-06-01,0,286,Coway
PN20A-24J33,2026-07-01,286,242,Coway
PN20A-24J33,2026-08-01,242,251,Coway
PN20A-24J33,2026-09-01,251,0,Coway
PN20E-24J33,2026-08-01,0,100,Coway
PN20E-24J33,2026-09-01,100,0,Coway
PN20K-24J33,2026-06-01,0,707,Coway
PN20K-24J33,2026-07-01,707,0,Coway
PN20K-24J33,2026-08-01,200,1100,Coway
PN20K-24J33,2026-09-01,900,0,Coway
PN20T-24J33,2026-06-01,0,928,Coway
PN20T-24J33,2026-07-01,928,288,Coway
PN20T-24J33,2026-08-01,827,539,Coway
PN20U-24J33,2026-06-01,0,48,Coway
PN20U-24J33,2026-07-01,216,168,Coway
PN20U-24J33,2026-08-01,240,240,Coway
PN270WCW-VF,2026-08-01,0,100,Coway
PN270WCW-VF,2026-09-01,100,0,Coway
PN500DCW-FILTER,2026-08-01,0,500,Coway
PN500DCW-FILTER,2026-09-01,500,0,Coway
PNC03ACW-VF,2026-06-01,0,1986,Coway
PNC03ACW-VF,2026-07-01,3606,1908,Coway
PNC03ACW-VF,2026-08-01,900,612,Coway
PNC08ACW-VF,2026-06-01,0,796,Coway
PNC08ACW-VF,2026-07-01,796,0,Coway
PNC08ACW-VF,2026-08-01,0,756,Coway
PNC08ACW-VF,2026-09-01,756,0,Coway
Unknown_1233492,2026-08-01,0,500,Coway
Unknown_1233492,2026-09-01,500,0,Coway
